config_label,difficulty,pass_at_1
"01: 1.5b, q4_K_M, T=0.1, p=0.9, pred=384, ctx=1024, th=1",easy,0.7375328083989501
"01: 1.5b, q4_K_M, T=0.1, p=0.9, pred=384, ctx=1024, th=1",hard,0.3018867924528302
"01: 1.5b, q4_K_M, T=0.1, p=0.9, pred=384, ctx=1024, th=1",medium,0.4166666666666667
"02: 1.5b, q4_K_M, T=0.2, p=0.9, pred=256, ctx=2048, th=1",easy,0.7034120734908137
"02: 1.5b, q4_K_M, T=0.2, p=0.9, pred=256, ctx=2048, th=1",hard,0.24528301886792453
"02: 1.5b, q4_K_M, T=0.2, p=0.9, pred=256, ctx=2048, th=1",medium,0.42592592592592593
"03: 1.5b, q8_0, T=0.1, p=0.98, pred=384, ctx=1024, th=1",easy,0.7244094488188977
"03: 1.5b, q8_0, T=0.1, p=0.98, pred=384, ctx=1024, th=1",hard,0.32075471698113206
"03: 1.5b, q8_0, T=0.1, p=0.98, pred=384, ctx=1024, th=1",medium,0.412962962962963
"04: 32b, q4_K_M, T=0.3, p=0.98, pred=128, ctx=1024, th=1",easy,0.8976377952755905
"04: 32b, q4_K_M, T=0.3, p=0.98, pred=128, ctx=1024, th=1",hard,0.3018867924528302
"04: 32b, q4_K_M, T=0.3, p=0.98, pred=128, ctx=1024, th=1",medium,0.762962962962963
"05: 32b, q4_K_M, T=0.3, p=0.95, pred=192, ctx=1024, th=1",easy,0.9028871391076115
"05: 32b, q4_K_M, T=0.3, p=0.95, pred=192, ctx=1024, th=1",hard,0.5471698113207547
"05: 32b, q4_K_M, T=0.3, p=0.95, pred=192, ctx=1024, th=1",medium,0.7759259259259259
"06: 7b, q4_K_M, T=0.2, p=0.95, pred=192, ctx=1024, th=1",easy,0.8556430446194225
"06: 7b, q4_K_M, T=0.2, p=0.95, pred=192, ctx=1024, th=1",hard,0.4339622641509434
"06: 7b, q4_K_M, T=0.2, p=0.95, pred=192, ctx=1024, th=1",medium,0.6722222222222223
"07: 7b, q4_K_M, T=0.0, p=0.9, pred=96, ctx=1024, th=1",easy,0.8530183727034121
"07: 7b, q4_K_M, T=0.0, p=0.9, pred=96, ctx=1024, th=1",hard,0.1509433962264151
"07: 7b, q4_K_M, T=0.0, p=0.9, pred=96, ctx=1024, th=1",medium,0.587037037037037
"08: 1.5b, q4_K_M, T=0.1, p=0.9, pred=128, ctx=1024, th=1",easy,0.7086614173228346
"08: 1.5b, q4_K_M, T=0.1, p=0.9, pred=128, ctx=1024, th=1",hard,0.07547169811320754
"08: 1.5b, q4_K_M, T=0.1, p=0.9, pred=128, ctx=1024, th=1",medium,0.3925925925925926
"09: 7b, q4_K_M, T=0.1, p=0.98, pred=192, ctx=1024, th=1",easy,0.8713910761154856
"09: 7b, q4_K_M, T=0.1, p=0.98, pred=192, ctx=1024, th=1",hard,0.39622641509433965
"09: 7b, q4_K_M, T=0.1, p=0.98, pred=192, ctx=1024, th=1",medium,0.6759259259259259
"10: 7b, q4_K_M, T=0.3, p=0.98, pred=384, ctx=1024, th=1",easy,0.8740157480314961
"10: 7b, q4_K_M, T=0.3, p=0.98, pred=384, ctx=1024, th=1",hard,0.49056603773584906
"10: 7b, q4_K_M, T=0.3, p=0.98, pred=384, ctx=1024, th=1",medium,0.6925925925925925
"11: 32b, q4_K_M, T=0.3, p=0.98, pred=192, ctx=1024, th=1",easy,0.889763779527559
"11: 32b, q4_K_M, T=0.3, p=0.98, pred=192, ctx=1024, th=1",hard,0.5471698113207547
"11: 32b, q4_K_M, T=0.3, p=0.98, pred=192, ctx=1024, th=1",medium,0.762962962962963
"12: 7b, q4_K_M, T=0.2, p=0.9, pred=192, ctx=1024, th=1",easy,0.868766404199475
"12: 7b, q4_K_M, T=0.2, p=0.9, pred=192, ctx=1024, th=1",hard,0.37735849056603776
"12: 7b, q4_K_M, T=0.2, p=0.9, pred=192, ctx=1024, th=1",medium,0.6777777777777778
"13: 1.5b, q4_K_M, T=0.2, p=0.98, pred=256, ctx=2048, th=1",easy,0.7139107611548556
"13: 1.5b, q4_K_M, T=0.2, p=0.98, pred=256, ctx=2048, th=1",hard,0.24528301886792453
"13: 1.5b, q4_K_M, T=0.2, p=0.98, pred=256, ctx=2048, th=1",medium,0.40370370370370373
"14: 7b, q4_K_M, T=0.3, p=0.9, pred=96, ctx=1024, th=1",easy,0.8530183727034121
"14: 7b, q4_K_M, T=0.3, p=0.9, pred=96, ctx=1024, th=1",hard,0.11320754716981132
"14: 7b, q4_K_M, T=0.3, p=0.9, pred=96, ctx=1024, th=1",medium,0.587037037037037
"15: 7b, q4_K_M, T=0.3, p=0.9, pred=384, ctx=1024, th=1",easy,0.8740157480314961
"15: 7b, q4_K_M, T=0.3, p=0.9, pred=384, ctx=1024, th=1",hard,0.5660377358490566
"15: 7b, q4_K_M, T=0.3, p=0.9, pred=384, ctx=1024, th=1",medium,0.6703703703703704
