config_id,model_family,model_size,variant,quantization,temperature,top_p,num_predict,num_ctx,instruction,output_constraint,reasoning_scaffold,format_rule,test_hint,average_pass@1,average_runtime,failure_count,resolved_model,json_file
1,qwen2.5-coder,1.5b,instruct,q4_K_M,0.1,0.9,384,1024,0,0,0,0,1,0.5359,0.4645,452,qwen2.5-coder:1.5b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_01_qwen2.5-coder_1.5b_instruct_q4_K_M_temp0.1_top0.9_pred384_ctx1024_th1.json
2,qwen2.5-coder,1.5b,instruct,q4_K_M,0.2,0.9,256,2048,0,0,0,0,1,0.5246,0.4665,463,qwen2.5-coder:1.5b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_02_qwen2.5-coder_1.5b_instruct_q4_K_M_temp0.2_top0.9_pred256_ctx2048_th1.json
3,qwen2.5-coder,1.5b,instruct,q8_0,0.1,0.98,384,1024,0,0,0,0,1,0.5298,0.4437,458,qwen2.5-coder:1.5b-instruct-q8_0,pareto_full_eval_20260330_152850/full_eval_03_qwen2.5-coder_1.5b_instruct_q8_0_temp0.1_top0.98_pred384_ctx1024_th1.json
4,qwen2.5-coder,32b,instruct,q4_K_M,0.3,0.98,128,1024,0,0,0,0,1,0.7906,1.9092,204,qwen2.5-coder:32b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_04_qwen2.5-coder_32b_instruct_q4_K_M_temp0.3_top0.98_pred128_ctx1024_th1.json
5,qwen2.5-coder,32b,instruct,q4_K_M,0.3,0.95,192,1024,0,0,0,0,1,0.8131,1.9681,182,qwen2.5-coder:32b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_05_qwen2.5-coder_32b_instruct_q4_K_M_temp0.3_top0.95_pred192_ctx1024_th1.json
6,qwen2.5-coder,7b,instruct,q4_K_M,0.2,0.95,192,1024,0,0,0,0,1,0.731,0.644,262,qwen2.5-coder:7b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_06_qwen2.5-coder_7b_instruct_q4_K_M_temp0.2_top0.95_pred192_ctx1024_th1.json
7,qwen2.5-coder,7b,instruct,q4_K_M,0.0,0.9,96,1024,0,0,0,0,1,0.6674,0.5975,324,qwen2.5-coder:7b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_07_qwen2.5-coder_7b_instruct_q4_K_M_temp0.0_top0.9_pred96_ctx1024_th1.json
8,qwen2.5-coder,1.5b,instruct,q4_K_M,0.1,0.9,128,1024,0,0,0,0,1,0.499,0.4533,488,qwen2.5-coder:1.5b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_08_qwen2.5-coder_1.5b_instruct_q4_K_M_temp0.1_top0.9_pred128_ctx1024_th1.json
9,qwen2.5-coder,7b,instruct,q4_K_M,0.1,0.98,192,1024,0,0,1,0,1,0.7372,0.7345,256,qwen2.5-coder:7b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_09_qwen2.5-coder_7b_instruct_q4_K_M_temp0.1_top0.98_pred192_ctx1024_th1.json
10,qwen2.5-coder,7b,instruct,q4_K_M,0.3,0.98,384,1024,0,0,1,0,1,0.7526,0.7724,241,qwen2.5-coder:7b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_10_qwen2.5-coder_7b_instruct_q4_K_M_temp0.3_top0.98_pred384_ctx1024_th1.json
11,qwen2.5-coder,32b,instruct,q4_K_M,0.3,0.98,192,1024,0,0,1,0,1,0.8008,2.1573,194,qwen2.5-coder:32b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_11_qwen2.5-coder_32b_instruct_q4_K_M_temp0.3_top0.98_pred192_ctx1024_th1.json
12,qwen2.5-coder,7b,instruct,q4_K_M,0.2,0.9,192,1024,0,0,1,0,1,0.7361,0.7448,257,qwen2.5-coder:7b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_12_qwen2.5-coder_7b_instruct_q4_K_M_temp0.2_top0.9_pred192_ctx1024_th1.json
13,qwen2.5-coder,1.5b,instruct,q4_K_M,0.2,0.98,256,2048,0,0,0,0,1,0.5164,0.4796,471,qwen2.5-coder:1.5b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_13_qwen2.5-coder_1.5b_instruct_q4_K_M_temp0.2_top0.98_pred256_ctx2048_th1.json
14,qwen2.5-coder,7b,instruct,q4_K_M,0.3,0.9,96,1024,0,0,0,0,1,0.6653,0.606,326,qwen2.5-coder:7b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_14_qwen2.5-coder_7b_instruct_q4_K_M_temp0.3_top0.9_pred96_ctx1024_th1.json
15,qwen2.5-coder,7b,instruct,q4_K_M,0.3,0.9,384,1024,0,0,1,0,1,0.7444,0.7999,249,qwen2.5-coder:7b-instruct-q4_K_M,pareto_full_eval_20260330_152850/full_eval_15_qwen2.5-coder_7b_instruct_q4_K_M_temp0.3_top0.9_pred384_ctx1024_th1.json
